sep=,
"Date","Delivery Date","Document No.","Customer Ref.","Customer","Exclusive","VAT","Total","Sales Rep","Status"
"20/03/2026","20/03/2026","SO4471","FM3933","Robust Ventilation Systems","2400","360","2760","Simon Mokgola","Invoiced"
"20/03/2026","20/03/2026","SO4472","cape town","ZEFS More Vision","2283","342.45","2625.45","Mashudu Tshifularo","Invoiced"
"21/03/2026","21/03/2026","SO4473","FM3935","LJ Trading & Projects (Pty) Ltd","4739","710.85","5449.85","Simon Mokgola","Invoiced"
"23/03/2026","30/04/2026","SO4474","A3412096868","NWK LTD","39120","5868","44988","Sizwe Tshabalala","Invoiced"
"23/03/2026","30/04/2026","SO4475","J5383-001ORD","RTS Africa Engineering (Pty) Ltd","31216","4682.4","35898.4","Simon Mokgola","Invoiced"
"23/03/2026","23/03/2026","SO4476","FM3953","Nishac Industrial Suppliers","3044","456.6","3500.6","Mashudu Tshifularo","Invoiced"
"23/03/2026","30/04/2026","SO4477","WARRANTY CLAIM - CPV-1020-4T","Hucra Fans","0","0","0","Sales Agent Hucra Fans","Invoiced"
"23/03/2026","30/04/2026","SO4478","DPO-1727-Plascon Flammable Paint Store","Dueltron (Pty) Ltd","27694","4154.1","31848.1","Mashudu Tshifularo","Invoiced"
"24/03/2026","20/04/2026","SO4479","PO0000606 - PO11 - JHB FORENSIC PATHOLOGY LAB","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","47311","7096.65","54407.65","Simon Mokgola","Invoiced"
"24/03/2026","31/03/2026","SO4480","PO56990","Dual Lighting cc","25396","3809.4","29205.4","Sizwe Tshabalala","Invoiced"
"24/03/2026","24/03/2026","SO4481","PO2241","Hucra Fans","2753","412.95","3165.95","Sales Agent Hucra Fans","Invoiced"
"25/03/2026","27/03/2026","SO4482",,"ZEFS More Vision","8066","1209.9","9275.9","Mashudu Tshifularo","Invoiced"
"25/03/2026","30/03/2026","SO4483","PO:030155","Atlas Air Conditioning (Pty) Ltd","6896.44","1034.47","7930.91","Mashudu Tshifularo","Invoiced"
"25/03/2026","25/03/2026","SO4484","PO0000609 - JHB FORENSIC PATHOLOGY LAB","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","16320","2448","18768","Simon Mokgola","Invoiced"
"26/03/2026","24/04/2026","SO4485","PO0000611 - JHB FORENSIC LAB","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","143493","21523.95","165016.95","Simon Mokgola","Invoiced"
"26/03/2026","26/03/2026","SO4486","PO11763","Xtreme Air Control (Pty) Ltd","4908","736.2","5644.2","Simon Mokgola","Invoiced"
"26/03/2026","10/04/2026","SO4487","FM3962","ZEFS More Vision","11944","1791.6","13735.6","Mashudu Tshifularo","Invoiced"
"26/03/2026","31/03/2026","SO4488","TIRACANO","Swannie","0","0","0",,"Invoiced"
"27/03/2026","31/03/2026","SO4489","PO Number: 4000237198","barloworld Power","98154","14723.1","112877.1","Simon Mokgola","Invoiced"
"27/03/2026","27/03/2026","SO4490","PO-100415","Airpro Fans and Blowers (Pty) Ltd","5209","781.35","5990.35","Sales Agent Airpro Fans and Blowers","Invoiced"
"27/03/2026","27/03/2026","SO4491","FM3966","Macnab's Refrigeration","3388","508.2","3896.2",,"Invoiced"
"30/03/2026","31/03/2026","SO4493","pps-Revised","ZEFS More Vision","17600","2640","20240","Mashudu Tshifularo","Invoiced"
"30/03/2026","07/04/2026","SO4494","Mak Polok-PO0000400","Compu Cool (Pty) Ltd","12598.15","1889.72","14487.87","Mashudu Tshifularo","Invoiced"
"30/03/2026","30/04/2026","SO4495","PO:01027002 - HANDLING FEE","VOLTEX THOHOYANDOU.","4303.8","645.57","4949.37","Mashudu Tshifularo","Invoiced"
